bone,landmark_id,influence
face_jawbone,175,0.25
face_chin,200,0.25
face_cheekupperright,118,0.25
face_cheeksideright,214,0.25
face_cheekfrontright,206,0.25
face_cheekupperleft,347,0.25
face_cheeksideleft,434,0.25
face_cheekfrontleft,426,0.25
face_forehead,151,0.25
face_nostrilleft,358,0.25
face_nostrilright,129,0.25
face_chopleft,288,0.25
face_chopright,58,0.25
face_liplowerleft,404,0.25
face_liplowermiddle,16,0.25
face_liplowerright,180,0.25
face_lipupperright,74,0.25
face_lipuppermiddle,12,0.25
face_lipupperleft,304,0.25
face_cornerright,57,0.25
face_cornerleft,287,0.25
face_eyelidupperleft,257,0.25
face_eyelidupperright,27,0.25
face_browfrontright,55,0.25
face_browfrontleft,285,0.25
face_browmiddle,8,0.25
face_browsideleft,276,0.25
face_browsideright,46,0.25
face_eyelidlowerleft,374,0.25
face_eyelidlowerright,145,0.25